Datetime,Temperature,Memory Free %,CPU Utilization %
2024-03-22 16:03:02,52.58,83.08,51.76
2024-03-22 16:03:33,52.58,83.07,52.0
2024-03-22 16:04:04,52.58,83.05,52.74
2024-03-22 16:04:35,53.56,83.03,52.75
2024-03-22 16:05:06,53.56,83.03,52.13
2024-03-22 16:05:37,52.09,83.01,52.0
2024-03-22 16:06:08,52.58,83.05,52.23
2024-03-22 16:06:39,52.58,83.03,52.0
2024-03-22 16:07:10,51.61,83.04,51.76
2024-03-22 16:07:41,52.09,83.01,52.49
2024-03-22 16:08:12,53.07,83.01,52.37
2024-03-22 16:08:43,52.09,83.02,52.0
2024-03-22 16:09:14,52.58,83.01,54.77
2024-03-22 16:09:45,52.09,83.06,51.88
2024-03-22 16:10:16,53.07,83.05,52.25
2024-03-22 16:10:47,52.09,83.04,53.9
2024-03-22 16:11:18,51.61,83.01,52.0
2024-03-22 16:11:49,53.07,83.02,52.24
2024-03-22 16:12:20,52.58,83.01,52.14
2024-03-22 16:13:21,51.61,83.0,52.24
2024-03-22 16:13:52,52.09,83.01,51.76
2024-03-22 16:14:23,52.58,83.0,52.26
2024-03-22 16:14:54,52.09,83.01,52.12
2024-03-22 16:15:25,52.58,83.02,51.76
2024-03-22 16:15:56,51.61,83.01,54.02
2024-03-22 16:16:27,51.61,83.09,52.01
2024-03-22 16:16:58,52.09,83.08,52.62
2024-03-22 16:17:29,52.58,83.07,51.63
2024-03-22 16:18:00,52.09,83.06,51.87
2024-03-22 16:18:32,52.09,83.06,55.67
2024-03-22 16:19:03,53.07,83.13,51.76
2024-03-22 16:19:34,52.58,83.12,52.13
2024-03-22 16:20:05,52.58,83.11,57.54
2024-03-22 16:20:36,51.12,83.1,52.12
2024-03-22 16:21:07,53.07,83.09,52.62
2024-03-22 16:21:38,52.58,83.09,51.51
2024-03-22 16:22:09,52.58,83.09,51.76
2024-03-22 16:22:40,52.09,83.08,52.74
2024-03-22 16:23:11,52.09,83.09,52.38
2024-03-22 16:23:42,53.56,83.09,52.37
2024-03-22 16:24:13,52.58,83.1,52.37
2024-03-22 16:24:44,53.07,83.04,52.13
2024-03-22 16:25:15,52.58,83.03,51.89
2024-03-22 16:25:46,52.09,83.04,52.13
2024-03-22 16:26:17,52.58,83.02,52.5
2024-03-22 16:26:48,52.09,83.11,51.89
2024-03-22 16:27:19,52.58,83.09,52.74
2024-03-22 16:27:50,52.09,83.09,53.63
2024-03-22 16:28:21,51.12,83.06,53.35
2024-03-22 16:28:52,52.58,83.03,52.51
2024-03-22 16:29:23,51.61,83.04,52.51
2024-03-22 16:29:54,52.58,83.04,52.74
2024-03-22 16:30:25,52.09,83.04,51.39
2024-03-22 16:30:56,51.61,83.04,51.63
2024-03-22 16:31:27,52.09,83.04,52.14
2024-03-22 16:31:58,52.58,83.05,52.0
2024-03-22 16:32:29,53.07,83.04,53.25
2024-03-22 16:33:00,53.07,83.03,47.51
2024-03-22 16:33:31,51.61,83.05,51.88
2024-03-22 16:34:02,51.61,83.05,52.49
2024-03-22 16:34:33,53.07,83.01,51.88
2024-03-22 16:35:04,52.58,82.99,53.79
2024-03-22 16:35:35,52.58,83.06,52.13
2024-03-22 16:36:06,52.58,83.05,52.74
2024-03-22 16:36:37,52.09,83.05,52.37
2024-03-22 16:37:08,53.07,83.05,51.88
2024-03-22 16:37:39,52.58,83.05,52.01
2024-03-22 16:38:10,52.58,83.02,52.25
2024-03-22 16:38:41,52.58,83.02,52.38
2024-03-22 16:39:12,52.58,83.04,52.63
2024-03-22 16:39:43,52.09,83.03,51.88
2024-03-22 16:40:14,52.58,83.02,52.75
2024-03-22 16:40:45,52.09,83.02,51.88
2024-03-22 16:41:16,52.09,83.03,52.12
2024-03-22 16:41:47,51.12,83.03,51.76
2024-03-22 16:42:18,52.58,83.02,51.63
2024-03-22 16:42:49,53.07,83.01,52.0
2024-03-22 16:43:20,52.09,83.01,52.0
2024-03-22 16:43:51,52.58,83.0,52.12
